Name,Type,Latitude,Longitude
"Mayur Retreat , Lupin Learning",hotel,18.7591718,73.3942336
Lion Point,viewpoint,18.7041145,73.3876167
Fariyas Resort,hotel,18.7622184,73.3923489
Lagoona,hotel,18.7713841,73.4057657
Rajkiran Resorts,hotel,18.7547591,73.4007645
Motiram Hotel,hotel,18.7300093,73.4017965
Sangam World Centre,information,18.5599096,73.8757807
Krishna,hotel,18.4570299,74.5807815
Sun N Sand,hotel,18.5382482,73.8815099
Sriman,hotel,18.5395872,73.8831852
Sirona,hotel,18.5394081,73.8830135
Aurora Towers,hotel,18.5181549,73.878853
Raviraj,hotel,18.5178872,73.8363021
Sagar Plaza,hotel,18.5201845,73.8766107
Surya Resort,hotel,18.7544192,73.4073969
Rajmachi Fort,attraction,18.8296834,73.3974108
Velvett Country,hotel,18.7542281,73.3676302
The Gordon House,hotel,18.5380015,73.8357003
Wonder Funkey,picnic_site,18.4990996,73.7892771
Dashabhuja Mandir,place_of_worship,18.5057991,73.8258505
Lake Pavna Club Mahindra,hotel,18.6623126,73.4723624
Dhanya kothar,attraction,18.8276899,73.3994589
Captans,hotel,18.7857621,73.406519
Upper Deck Resort,hotel,18.7861437,73.4042444
MIT Institite Of Design,hostel,18.6750066,73.8919095
P.G.HOSTEL,hostel,18.4594674,73.8558809
Hotel Executive Residency,hotel,18.5411401,73.8877559
shitai hotel,hotel,18.6768318,73.8773743
Necklace Point,viewpoint,18.1852002,73.8962631
Parvati Museum,museum,18.4972669,73.8468291
Parvati,viewpoint,18.4977735,73.8471143
IISER New Hall of Residence,hostel,18.5435714,73.8058684
Sinhagad Fort,attraction,18.3651456,73.7552242
Bajirao I statue,artwork,18.520627,73.8553084
Maharshi Dhondo Keshav Karve,artwork,18.5019805,73.8150555
MAE girls hostel,hostel,18.6702136,73.8891934
Someshwar Mandir,place_of_worship,18.5138161,73.8604832
Joshi's Museum of Miniature Railways,museum,18.5014117,73.822364
Sadanand,hotel,18.505459,73.8232862
Prabhag 51 B,information,18.5077591,73.8503217
Amruta Gardens,hotel,18.1834944,73.9541189
Shalimar Hotel,hotel,18.5261949,73.8766929
Viva Inn,hotel,18.5080071,73.7827827
Ritz Hotel,hotel,18.5234559,73.8765561
HAL Marut,attraction,18.5172576,73.8353667
Ekaant- The Retreat Hotel,hotel,18.3963434,73.5081601
Hotel Suruchi Satyam Lodge,hotel,18.8554069,73.887632
Takshashila,apartment,18.4464329,73.834258
Hotel Samarth,hotel,18.4170054,74.4728016
Alive,apartment,18.5751481,73.774032
High Bliss,apartment,18.4470394,73.8167389
Meghmalhar,apartment,18.4443878,73.7975295
Ganga Bhagyoday,apartment,18.470349,73.8208294
Rahane Arcade,apartment,18.4464172,73.8180297
Chandan Heights,apartment,18.4457403,73.8214789
Swagat Luxury Lodging,hotel,18.4448095,73.7871856
Shreemangal Palace,apartment,18.4710536,73.8210415
Chandrakant Residency A,apartment,18.4549416,73.8250136
Jijai Palace,apartment,18.4544079,73.824805
Jijai Heights,apartment,18.4545913,73.8248192
Sukalyan,apartment,18.5087603,73.8163204
